D10A_data-2006-03-26-0836.txt

d10a.D10A Time	Hr	Mn	Sec	fractions of sec	Pitch	Bank	Heading	IAS	Baro Altitude	Yaw rate	Ny	Nz
(seconds)	(Hr)	(Mn)	(Sec)	(1/64 sec)	(deg)	(deg)	(deg mag)	(KIAS)	(ft)	(deg/s)	(g)	(g)
1143380621.01	13	48	46	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380622.01	13	48	47	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380623.01	13	48	48	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380624.01	13	48	49	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380625.01	13	48	50	26	9.6	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380626.01	13	48	51	26	9.6	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380627.01	13	48	52	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380628.01	13	48	53	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380629.01	13	48	54	26	9.7	0.7	303	0.0	-291.99476	+004	0.01	1.0
1143380630.01	13	48	55	26	9.7	0.7	303	0.0	-291.99476	+004	0.01	1.0
1143380631.01	13	48	56	26	9.6	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380632.01	13	48	57	26	9.6	0.7	304	0.0	-291.99476	+003	0.01	1.0
1143380633.01	13	48	58	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380634.01	13	48	59	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380635.01	13	49	00	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380636.01	13	49	01	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380637.01	13	49	02	26	9.6	0.8	303	0.0	-291.99476	+004	0.01	1.0
1143380638.01	13	49	03	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380639.01	13	49	04	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380640.01	13	49	05	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380641.01	13	49	06	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380642.01	13	49	07	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380643.01	13	49	08	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380644.01	13	49	09	24	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380645.01	13	49	10	26	9.7	0.8	303	0.0	-291.99476	+003	0.02	1.0
1143380646.01	13	49	11	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380647.01	13	49	12	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380648.03	13	49	13	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380649.01	13	49	14	24	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380650.01	13	49	15	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380651.01	13	49	16	26	9.6	0.8	303	0.0	-291.99476	+003	0.02	1.0
1143380652.01	13	49	17	26	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380653.01	13	49	18	26	9.6	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380654.01	13	49	19	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380655.01	13	49	20	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380656.01	13	49	21	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380657.05	13	49	22	26	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380658.01	13	49	23	25	9.6	0.8	303	0.0	-291.99476	+003	0.02	1.0
1143380659.01	13	49	24	25	9.7	0.9	304	0.0	-291.99476	+003	0.02	1.0
1143380660.01	13	49	25	25	9.8	0.8	304	0.0	-291.99476	+003	0.02	1.0
1143380661.02	13	49	26	25	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380662.0	13	49	27	23	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380663.0	13	49	28	25	9.7	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380664.02	13	49	29	25	9.7	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380665.0	13	49	30	25	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380666.01	13	49	31	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380667.03	13	49	32	25	9.6	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380668.01	13	49	33	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380669.01	13	49	34	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380670.01	13	49	35	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380671.05	13	49	36	26	9.7	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380672.05	13	49	37	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380673.05	13	49	38	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380674.05	13	49	39	26	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380675.05	13	49	40	26	9.8	0.8	303	0.0	-291.99476	+003	0.02	1.0
1143380676.01	13	49	41	26	9.8	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380677.33	13	49	42	25	9.8	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380678.08	13	49	42	59	9.8	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380679.03	13	49	44	19	9.8	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380680.02	13	49	45	25	9.7	0.9	304	0.0	-291.99476	+003	0.02	1.0
1143380681.03	13	49	46	25	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380682.01	13	49	47	26	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380683.02	13	49	48	25	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380684.01	13	49	49	26	9.7	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380685.01	13	49	50	26	9.7	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380686.01	13	49	51	26	9.8	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380687.01	13	49	52	26	9.8	0.9	304	0.0	-291.99476	+003	0.02	1.0
1143380688.01	13	49	53	26	9.8	0.8	303	0.0	-291.99476	+003	0.02	1.0
1143380689.0	13	49	54	25	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380690.0	13	49	55	25	9.8	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380691.0	13	49	56	25	9.8	0.9	304	0.0	-291.99476	+003	0.01	1.0
1143380692.01	13	49	57	26	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380693.03	13	49	58	26	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380694.01	13	49	59	23	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380695.01	13	50	00	26	9.8	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380696.07	13	50	01	26	9.8	0.8	305	0.0	-291.99476	+003	0.01	1.0
1143380697.01	13	50	02	26	9.8	0.8	305	0.0	-291.99476	+003	0.01	1.0
1143380698.02	13	50	03	17	9.8	0.9	305	0.0	-291.99476	+003	0.01	1.0
1143380699.02	13	50	03	03	9.8	0.8	305	0.0	-291.99476	+003	0.01	1.0
1143380700.0	13	50	05	20	9.8	0.8	305	0.0	-291.99476	+003	0.02	1.0
1143380701.12	13	50	06	04	9.8	0.8	305	0.0	-291.99476	+003	0.01	1.0
1143380702.01	13	50	07	24	9.8	0.8	305	0.0	-291.99476	+003	0.01	1.0
1143380703.05	13	50	08	07	9.8	0.8	305	0.0	-291.99476	+003	0.01	1.0
1143380704.01	13	50	09	26	9.8	0.9	305	0.0	-291.99476	+003	0.01	1.0
1143380705.04	13	50	10	25	9.8	0.9	305	0.0	-291.99476	+003	0.01	1.0
1143380706.01	13	50	11	25	9.8	0.9	305	0.0	-291.99476	+003	0.01	1.0
1143380707.03	13	50	12	25	9.8	0.9	305	0.0	-291.99476	+003	0.01	1.0
1143380708.01	13	50	13	25	9.8	0.9	305	0.0	-295.2756	+003	0.02	1.0
1143380709.09	13	50	14	19	9.8	0.9	305	0.0	-295.2756	+003	0.02	1.0
1143380710.17	13	50	15	20	9.8	0.9	305	0.0	-295.2756	+003	0.02	1.0
1143380711.02	13	50	16	23	9.8	0.9	305	0.0	-295.2756	+003	0.01	1.0
1143380712.02	13	50	17	26	9.8	0.9	304	0.0	-295.2756	+003	0.02	1.0
1143380713.01	13	50	18	26	9.8	0.9	305	0.0	-295.2756	+003	0.02	1.0
1143380714.01	13	50	19	26	9.8	0.9	305	0.0	-295.2756	+003	0.02	1.0
1143380715.03	13	50	20	23	9.8	0.9	305	0.0	-295.2756	+003	0.01	1.0
1143380716.01	13	50	21	26	9.8	0.9	305	0.0	-295.2756	+003	0.01	1.0
1143380717.03	13	50	22	25	9.8	0.9	305	0.0	-295.2756	+003	0.02	1.0
1143380718.02	13	50	23	26	9.8	0.9	306	0.0	-295.2756	+003	0.01	1.0
1143380719.03	13	50	24	26	9.8	0.9	306	0.0	-295.2756	+003	0.01	1.0
1143380720.01	13	50	25	26	9.8	0.9	306	0.0	-295.2756	+003	0.01	1.0
1143380721.06	13	50	26	26	9.8	0.9	306	0.0	-295.2756	+003	0.01	1.0
1143380722.05	13	50	27	26	9.8	0.9	306	0.0	-295.2756	+003	0.01	1.0
1143380723.03	13	50	28	26	9.8	0.9	306	0.0	-295.2756	+003	0.02	1.0
1143380724.01	13	50	29	26	9.8	0.9	305	0.0	-295.2756	+003	0.01	1.0
1143380725.01	13	50	30	26	9.8	0.9	305	0.0	-295.2756	+003	0.01	1.0
1143380726.01	13	50	31	26	9.8	0.9	305	0.0	-298.55644	+003	0.01	1.0
1143380727.01	13	50	32	26	9.8	0.9	305	0.0	-298.55644	+003	0.01	1.0
1143380728.04	13	50	33	26	9.8	0.9	305	0.0	-301.83728	+003	0.01	1.0
1143380729.03	13	50	34	26	9.8	0.9	304	0.0	-301.83728	+003	0.01	1.0
1143380730.05	13	50	35	26	9.8	0.9	304	0.0	-305.11812	+003	0.02	1.0
1143380731.07	13	50	36	18	9.8	0.9	305	0.0	-305.11812	+003	0.01	1.0
1143380732.01	13	50	36	58	9.8	0.9	305	0.0	-308.39896	+003	0.02	1.0
1143380733.01	13	50	38	26	9.8	0.9	304	0.0	-308.39896	+003	0.02	1.0
1143380734.01	13	50	39	26	9.8	0.9	304	0.0	-311.6798	+003	0.02	1.0
1143380735.01	13	50	40	26	9.8	0.9	305	0.0	-311.6798	+003	0.02	1.0
1143380736.01	13	50	41	26	9.8	0.9	305	0.0	-311.6798	+003	0.02	1.0
