EIS4000_data-2006-03-26-0836.txt

eis4000.EIS4000 Time	RPM	MP	OAT	Fuel Flow	Fuel Qty	CHT 1	CHT 2	CHT 3	CHT 4	EGT 1	EGT 2	EGT 3	EGT 4	Oil Temp	Oil Press	Volt	Hour Meter	Hrs	Min	Sec	Hours End	Min End	Unit Temp
(seconds)	(RPM)	(in HG)	(deg C)	(USG/hr)	(USG)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(psi)	(volt)	(hr)	(hr)	(mn)	(s)	(hr)	(mn)	(deg C)
1143381120.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381121.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381122.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381123.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381124.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381125.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381126.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381127.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381128.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381129.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381130.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381131.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381132.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381133.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381134.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381135.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381136.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381137.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381138.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381139.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381140.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381141.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381142.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381143.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381144.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381145.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
