Discretes_data-2006-03-26-0836.txt

discretes.Discretes Time	Event Marker
(seconds)	(1 = Event)
1143381389.02	0
1143381390.01	0
1143381391.01	0
1143381392.01	0
1143381393.0	0
1143381394.02	0
1143381395.01	0
1143381396.01	0
1143381397.01	0
1143381398.01	0
1143381399.0	0
1143381400.01	0
1143381401.0	0
1143381402.01	0
1143381403.01	0
1143381404.01	0
1143381405.01	0
1143381406.01	0
1143381407.02	0
1143381408.0	0
1143381409.01	0
1143381410.01	0
1143381411.0	0
1143381412.0	0
1143381413.01	0
1143381414.02	0
1143381415.01	0
1143381416.01	0
1143381417.01	0
1143381418.02	0
1143381419.01	0
1143381420.01	0
1143381421.02	0
1143381422.01	0
1143381423.02	0
1143381424.01	0
1143381425.0	0
1143381426.0	0
1143381427.0	0
1143381428.01	0
1143381429.02	0
1143381430.01	0
1143381431.01	0
1143381432.01	0
1143381433.01	0
1143381434.01	0
1143381435.02	0
1143381436.01	0
1143381437.01	0
1143381438.01	0
1143381439.01	0
1143381440.02	0
1143381441.01	0
1143381442.02	0
1143381443.02	0
1143381444.02	0
1143381445.02	0
1143381446.01	0
1143381447.01	0
1143381448.01	0
1143381449.0	0
1143381450.01	0
1143381451.01	0
1143381452.01	0
1143381453.02	0
1143381454.0	0
1143381455.01	0
1143381456.0	0
1143381457.01	0
1143381458.01	0
1143381459.02	0
1143381460.0	0
1143381461.02	0
1143381462.01	0
1143381463.02	0
1143381464.01	0
1143381465.01	0
1143381466.01	0
1143381467.0	0
1143381468.01	0
1143381469.01	0
1143381470.01	0
1143381471.02	0
1143381472.01	0
1143381473.01	0
1143381474.02	0
1143381475.0	0
1143381476.0	0
1143381477.01	0
1143381478.01	0
1143381479.01	0
1143381480.02	0
1143381481.02	0
1143381482.01	0
1143381483.02	0
1143381484.0	0
1143381485.02	0
1143381486.01	0
1143381487.01	0
1143381488.0	0
1143381489.0	0
1143381490.0	0
1143381491.01	0
1143381492.02	0
1143381493.01	0
1143381494.01	0
1143381495.0	0
1143381496.02	0
1143381497.02	0
1143381498.01	0
1143381499.01	0
1143381500.01	0
1143381501.01	0
1143381502.01	0
1143381503.01	0
1143381504.01	0
1143381505.0	0
1143381506.0	0
1143381507.0	0
1143381508.01	0
1143381509.0	0
1143381510.01	0
1143381511.02	0
1143381512.01	0
1143381513.0	0
1143381514.01	0
1143381515.01	0
1143381516.01	0
1143381517.01	0
1143381518.01	0
1143381519.01	0
1143381520.0	0
1143381521.01	0
1143381522.01	0
1143381523.02	0
1143381524.01	0
1143381525.02	0
1143381526.01	0
1143381527.02	0
1143381528.02	0
1143381529.02	0
1143381530.02	0
1143381531.02	0
1143381532.0	0
1143381533.0	0
1143381534.0	0
1143381535.0	0
1143381536.01	0
1143381537.0	0
1143381538.02	0
1143381539.02	0
1143381540.01	0
1143381541.01	0
1143381542.01	0
1143381543.02	0
1143381544.02	0
1143381545.01	0
1143381546.01	0
1143381547.02	0
1143381548.0	0
1143381549.0	0
1143381550.0	0
1143381551.01	0
1143381552.01	0
1143381553.02	0
1143381554.02	0
1143381555.01	0
1143381556.01	0
1143381557.01	0
1143381558.0	0
1143381559.01	0
1143381560.01	0
1143381561.01	0
1143381562.01	0
1143381563.01	0
1143381564.02	0
1143381565.02	0
1143381566.02	0
1143381567.02	0
1143381568.01	0
1143381569.01	0
1143381570.02	0
1143381571.01	0
1143381572.02	0
1143381573.02	0
1143381574.02	0
1143381575.02	0
1143381576.03	0
1143381577.04	0
1143381578.01	0
1143381579.02	0
1143381580.03	0
1143381581.01	0
1143381582.02	0
1143381583.02	0
1143381584.03	0
1143381585.03	0
1143381586.02	0
1143381587.01	0
1143381588.0	0
1143381589.03	0
1143381590.03	0
1143381591.02	0
1143381592.04	0
1143381593.03	0
1143381594.04	0
1143381595.02	0
1143381596.02	0
1143381597.0	0
1143381598.02	0
1143381599.0	0
1143381600.01	0
1143381601.01	0
1143381602.0	0
1143381603.0	0
1143381604.0	0
1143381605.0	0
1143381606.01	0
1143381607.01	0
1143381608.01	0
1143381609.02	0
1143381610.01	0
1143381611.0	0
1143381612.01	0
1143381613.02	0
1143381614.01	0
1143381615.01	0
1143381616.02	0
1143381617.02	0
1143381618.04	0
1143381619.03	0
1143381620.01	0
1143381621.01	0
1143381622.02	0
1143381623.05	0
1143381624.01	0
1143381625.01	0
1143381626.0	0
1143381627.01	0
1143381628.02	0
1143381629.02	0
1143381630.01	0
1143381631.0	0
1143381632.01	0
1143381633.01	0
1143381634.0	0
1143381635.02	0
1143381636.02	0
1143381637.01	0
1143381638.01	0
1143381639.01	0
1143381640.0	0
1143381641.0	0
1143381642.0	0
1143381643.0	0
1143381644.01	0
1143381645.01	0
1143381646.01	0
1143381647.0	0
1143381648.01	0
1143381649.01	0
1143381650.01	0
1143381651.01	0
1143381652.01	0
1143381653.0	0
1143381654.01	0
1143381655.0	0
1143381656.02	0
1143381657.0	0
1143381658.0	0
1143381659.0	0
1143381660.0	0
1143381661.0	0
1143381662.0	0
1143381663.01	0
1143381664.02	0
1143381665.01	0
1143381666.01	0
1143381667.02	0
1143381668.01	0
1143381669.02	0
1143381670.01	0
1143381671.01	0
1143381672.02	0
1143381673.0	0
1143381674.01	0
1143381675.03	0
1143381676.02	0
1143381677.02	0
1143381678.01	0
1143381679.0	0
1143381680.02	0
1143381681.0	0
1143381682.03	0
1143381683.01	0
1143381684.03	0
1143381685.03	0
1143381686.03	0
1143381687.04	0
1143381688.03	0
1143381689.02	0
1143381690.03	0
1143381691.03	0
1143381692.03	0
1143381693.04	0
1143381694.04	0
1143381695.0	0
1143381696.04	0
1143381697.0	0
1143381698.01	0
1143381699.04	0
1143381700.01	0
1143381701.05	0
1143381702.0	0
1143381703.01	0
1143381704.03	0
1143381705.01	0
1143381706.02	0
1143381707.01	0
1143381708.01	0
1143381709.0	0
1143381710.01	0
1143381711.01	0
1143381712.01	0
1143381713.01	0
1143381714.02	0
1143381715.02	0
1143381716.02	0
1143381717.02	0
1143381718.01	0
1143381719.04	0
1143381720.0	0
1143381721.01	0
1143381722.02	0
1143381723.01	0
1143381724.04	0
1143381725.0	0
1143381726.01	0
1143381727.0	0
1143381728.02	0
1143381729.02	0
